"Host","HostClass","HostOrder","HostFamily","HostGenus","ZoonoticHost","PathogenRichness","ZoonoticPathogenRichness","Pathogens","ZoonoticPathogens","HostCriteria"
"squalus mitsukurii","chondrichthyes","squaliformes","squalidae","squalus",FALSE,1,0,"calicotyle japonica","","Stricter (sequencing or isolation)"
"stegostoma fasciatum","chondrichthyes","orectolobiformes","stegostomatidae","stegostoma",FALSE,1,0,"hornelliella annandalei","","Stricter (sequencing or isolation)"
"stellifer lanceolatus","actinopteri",NA,"sciaenidae","stellifer",FALSE,1,0,"lymphocystis disease virus 1","","Stricter (sequencing or isolation)"
"stenella clymene","mammalia","artiodactyla","delphinidae","stenella",FALSE,1,0,"anisakis typica","","Stricter (sequencing or isolation)"
"stenella coeruleoalba","mammalia","artiodactyla","delphinidae","stenella",TRUE,8,2,"actinobacillus delphinicola, brucella ceti, clostridium tertium, helicobacter cetorum, brachycladium atlanticum, clistobothrium grimaldii, phyllobothrium delphini, cetacean morbillivirus","brucella ceti, clostridium tertium","Stricter (sequencing or isolation)"
"stenella frontalis","mammalia","artiodactyla","delphinidae","stenella",TRUE,1,1,"erysipelothrix rhusiopathiae","erysipelothrix rhusiopathiae","Stricter (sequencing or isolation)"
"stenella longirostris","mammalia","artiodactyla","delphinidae","stenella",FALSE,2,0,"anisakis typica, cetacean morbillivirus","","Stricter (sequencing or isolation)"
"steno bredanensis","mammalia","artiodactyla","delphinidae","steno",TRUE,2,1,"candida albicans, anisakis typica","candida albicans","Stricter (sequencing or isolation)"
"stenocephalemys albipes","mammalia","rodentia","muridae","stenocephalemys",TRUE,3,1,"bartonella elizabethae, mobala mammarenavirus, tigray orthohantavirus","bartonella elizabethae","Stricter (sequencing or isolation)"
"stephanolepis cirrhifer","actinopteri","tetraodontiformes","monacanthidae","stephanolepis",FALSE,1,0,"redspotted grouper nervous necrosis virus","","Stricter (sequencing or isolation)"
"stercorarius antarcticus","aves","charadriiformes","stercorariidae","stercorarius",TRUE,1,1,"edwardsiella tarda","edwardsiella tarda","Stricter (sequencing or isolation)"
"stercorarius lonnbergi","aves","charadriiformes","stercorariidae","stercorarius",TRUE,1,1,"influenza a virus","influenza a virus","Stricter (sequencing or isolation)"
"stercorarius maccormicki","aves","charadriiformes","stercorariidae","stercorarius",TRUE,2,1,"edwardsiella tarda, skua siadenovirus a","edwardsiella tarda","Stricter (sequencing or isolation)"
"stercorarius parasiticus","aves","charadriiformes","stercorariidae","stercorarius",TRUE,1,1,"chlamydia psittaci","chlamydia psittaci","Stricter (sequencing or isolation)"
"sterna hirundo","aves","charadriiformes","laridae","sterna",TRUE,6,5,"aeromonas hydrophila, chlamydia psittaci, francisella tularensis, avian coronavirus, gull circovirus, influenza a virus","aeromonas hydrophila, chlamydia psittaci, francisella tularensis, avian coronavirus, influenza a virus","Stricter (sequencing or isolation)"
"sternotherus odoratus",NA,"testudines","kinosternidae","sternotherus",TRUE,1,1,"eastern equine encephalitis virus","eastern equine encephalitis virus","Stricter (sequencing or isolation)"
"sternula albifrons","aves","charadriiformes","laridae","sternula",TRUE,3,3,"avian orthoavulavirus 1, influenza a virus, west nile virus","avian orthoavulavirus 1, influenza a virus, west nile virus","Stricter (sequencing or isolation)"
"sternula antillarum","aves","charadriiformes","laridae","sternula",TRUE,1,1,"west nile virus","west nile virus","Stricter (sequencing or isolation)"
"stigmochelys pardalis",NA,"testudines","testudinidae","stigmochelys",FALSE,4,0,"campylobacter iguaniorum, pasteurella testudinis, testudinid alphaherpesvirus 3, torchivirus a","","Stricter (sequencing or isolation)"
"storeria dekayi","lepidosauria","squamata","colubridae","storeria",TRUE,1,1,"eastern equine encephalitis virus","eastern equine encephalitis virus","Stricter (sequencing or isolation)"
"streptopelia capicola","aves","columbiformes","columbidae","streptopelia",TRUE,1,1,"west nile virus","west nile virus","Stricter (sequencing or isolation)"
"streptopelia decaocto","aves","columbiformes","columbidae","streptopelia",TRUE,5,5,"escherichia coli, avian orthoavulavirus 1, influenza a virus, usutu virus, west nile virus","escherichia coli, avian orthoavulavirus 1, influenza a virus, usutu virus, west nile virus","Stricter (sequencing or isolation)"
"streptopelia orientalis","aves","columbiformes","columbidae","streptopelia",TRUE,3,2,"escherichia coli, yersinia frederiksenii, fowlpox virus","escherichia coli, yersinia frederiksenii","Stricter (sequencing or isolation)"
"streptopelia risoria","aves","columbiformes","columbidae","streptopelia",TRUE,1,1,"avian orthoavulavirus 1","avian orthoavulavirus 1","Stricter (sequencing or isolation)"
"streptopelia semitorquata","aves","columbiformes","columbidae","streptopelia",TRUE,1,1,"avian orthoavulavirus 1","avian orthoavulavirus 1","Stricter (sequencing or isolation)"
"streptopelia tranquebarica","aves","columbiformes","columbidae","streptopelia",TRUE,1,1,"avian orthoavulavirus 1","avian orthoavulavirus 1","Stricter (sequencing or isolation)"
"streptopelia turtur","aves","columbiformes","columbidae","streptopelia",TRUE,3,2,"avian orthoavulavirus 1, dera ghazi khan orthonairovirus, sindbis virus","avian orthoavulavirus 1, sindbis virus","Stricter (sequencing or isolation)"
"strigops habroptila","aves","psittaciformes","psittacidae","strigops",TRUE,1,1,"erysipelothrix rhusiopathiae","erysipelothrix rhusiopathiae","Stricter (sequencing or isolation)"
"strix aluco","aves","strigiformes","strigidae","strix",TRUE,6,3,"salmonella enterica, avian orthoavulavirus 1, avian orthoreovirus, columbid alphaherpesvirus 1, duck atadenovirus a, usutu virus","salmonella enterica, avian orthoavulavirus 1, usutu virus","Stricter (sequencing or isolation)"
"strix nebulosa","aves","strigiformes","strigidae","strix",TRUE,2,2,"usutu virus, west nile virus","usutu virus, west nile virus","Stricter (sequencing or isolation)"
"strix occidentalis","aves","strigiformes","strigidae","strix",TRUE,1,1,"borrelia hermsii","borrelia hermsii","Stricter (sequencing or isolation)"
"strix uralensis","aves","strigiformes","strigidae","strix",TRUE,3,3,"francisella tularensis, gallid alphaherpesvirus 2, influenza a virus","francisella tularensis, gallid alphaherpesvirus 2, influenza a virus","Stricter (sequencing or isolation)"
"strix varia","aves","strigiformes","strigidae","strix",TRUE,2,1,"highlands j virus, west nile virus","west nile virus","Stricter (sequencing or isolation)"
"strongylopus fasciatus","amphibia","anura","pyxicephalidae","strongylopus",FALSE,1,0,"polystoma testimagna","","Stricter (sequencing or isolation)"
"strongylura leiura","actinopteri","beloniformes","belonidae","strongylura",FALSE,1,0,"ptychobothrium belones","","Stricter (sequencing or isolation)"
"struthio camelus","aves","struthioniformes","struthionidae","struthio",TRUE,40,27,"bacillus anthracis, bordetella avium, brachyspira pilosicoli, campylobacter coli, campylobacter jejuni, chlamydia psittaci, clostridioides difficile, edwardsiella tarda, enterococcus gallinarum, escherichia coli, lawsonia intracellularis, mycobacterium avium, ornithobacterium rhinotracheale, pasteurella multocida, psychrobacter phenylpyruvicus, riemerella columbina, staphylococcus cohnii, staphylococcus epidermidis, staphylococcus haemolyticus, staphylococcus hominis, staphylococcus warneri, encephalitozoon hellem, libyostrongylus douglassi, balantioides coli, cryptosporidium baileyi, cryptosporidium muris, cryptosporidium struthionis, entamoeba struthionis, giardia intestinalis, avian orthoavulavirus 1, avian orthoreovirus, avian paraavulavirus 3, crimean-congo hemorrhagic fever orthonairovirus, fowl aviadenovirus a, fowl aviadenovirus d, fowl aviadenovirus e, influenza a virus, mammalian 1 orthobornavirus, ostrich associated gemytondvirus 1, turlock orthobunyavirus","bacillus anthracis, bordetella avium, brachyspira pilosicoli, campylobacter coli, campylobacter jejuni, chlamydia psittaci, clostridioides difficile, edwardsiella tarda, enterococcus gallinarum, escherichia coli, mycobacterium avium, pasteurella multocida, psychrobacter phenylpyruvicus, staphylococcus cohnii, staphylococcus epidermidis, staphylococcus haemolyticus, staphylococcus hominis, staphylococcus warneri, encephalitozoon hellem, balantioides coli, cryptosporidium muris, giardia intestinalis, avian orthoavulavirus 1, crimean-congo hemorrhagic fever orthonairovirus, influenza a virus, mammalian 1 orthobornavirus, turlock orthobunyavirus","Stricter (sequencing or isolation)"
"sturnira lilium","mammalia","chiroptera","phyllostomidae","sturnira",TRUE,20,9,"bacillus mycoides, leptospira borgpetersenii, myroides odoratus, trypanosoma dionisii, adenovirus predict_adv-13, adenovirus predict_adv-15, bat mastadenovirus a, dengue virus, eastern equine encephalitis virus, indiana vesiculovirus, influenza a virus, mapuera orthorubulavirus, new jersey vesiculovirus, pegivirus i, predict_hv-109, predict_hv-112, predict_hv-40, predict_mastv-8, sturnira lilium polyomavirus 1, venezuelan equine encephalitis virus","bacillus mycoides, leptospira borgpetersenii, myroides odoratus, dengue virus, eastern equine encephalitis virus, indiana vesiculovirus, influenza a virus, new jersey vesiculovirus, venezuelan equine encephalitis virus","Stricter (sequencing or isolation)"
"sturnira ludovici","mammalia","chiroptera","phyllostomidae","sturnira",FALSE,4,0,"pegivirus b, predict_hv-103, predict_hv-109, predict_hv-111","","Stricter (sequencing or isolation)"
"sturnira parvidens","mammalia","chiroptera","phyllostomidae","sturnira",TRUE,1,1,"eastern equine encephalitis virus","eastern equine encephalitis virus","Stricter (sequencing or isolation)"
"sturnira tildae","mammalia","chiroptera","phyllostomidae","sturnira",TRUE,1,1,"leptospira borgpetersenii","leptospira borgpetersenii","Stricter (sequencing or isolation)"
"sturnus cineraceus","aves","passeriformes","sturnidae","sturnus",TRUE,6,6,"escherichia albertii, escherichia coli, yersinia enterocolitica, yersinia frederiksenii, yersinia kristensenii, avian orthoavulavirus 1","escherichia albertii, escherichia coli, yersinia enterocolitica, yersinia frederiksenii, yersinia kristensenii, avian orthoavulavirus 1","Stricter (sequencing or isolation)"
"sturnus sericeus","aves","passeriformes","sturnidae","sturnus",TRUE,1,1,"influenza a virus","influenza a virus","Stricter (sequencing or isolation)"
"sturnus unicolor","aves","passeriformes","sturnidae","sturnus",FALSE,1,0,"starling circovirus","","Stricter (sequencing or isolation)"
"sturnus vulgaris","aves","passeriformes","sturnidae","sturnus",TRUE,22,16,"campylobacter jejuni, erysipelothrix rhusiopathiae, escherichia coli, mycobacterium avium, mycoplasma sturni, pasteurella multocida, yersinia enterocolitica, yersinia intermedia, yersinia kristensenii, prosthogonimus cuneatus, avian coronavirus, avian orthoavulavirus 1, avian paraavulavirus 4, eastern equine encephalitis virus, influenza a virus, japanese encephalitis virus, sindbis virus, starling associated gemygorvirus 1, starling circovirus, starlingpox virus, tick-borne encephalitis virus, usutu virus","campylobacter jejuni, erysipelothrix rhusiopathiae, escherichia coli, mycobacterium avium, pasteurella multocida, yersinia enterocolitica, yersinia intermedia, yersinia kristensenii, avian coronavirus, avian orthoavulavirus 1, eastern equine encephalitis virus, influenza a virus, japanese encephalitis virus, sindbis virus, tick-borne encephalitis virus, usutu virus","Stricter (sequencing or isolation)"
"sula dactylatra","aves","pelecaniformes","sulidae","sula",TRUE,1,1,"hughes orthonairovirus","hughes orthonairovirus","Stricter (sequencing or isolation)"
"sula sula","aves","pelecaniformes","sulidae","sula",TRUE,1,1,"cardiovirus a","cardiovirus a","Stricter (sequencing or isolation)"
"suncus murinus","mammalia","eulipotyphla","soricidae","suncus",TRUE,24,8,"bartonella elizabethae, strongyloides akbari, adenovirus predict_adv-69, adenovirus predict_adv-90, beilong jeilongvirus, dabie bandavirus, influenza a virus, kyasanur forest disease virus, orthohepevirus a, orthohepevirus c, paramyxovirus predict_pmv-145, paramyxovirus predict_pmv-20, paramyxovirus predict_pmv-54, paramyxovirus predict_pmv-83, paramyxovirus predict_pmv-83, predict_adv-69, predict_adv-84, predict_adv-85, predict_adv-86, predict_pmv-145, predict_rbdv-5, predict_rbdv-6, seoul orthohantavirus, thottopalayam thottimvirus, zika virus","bartonella elizabethae, dabie bandavirus, influenza a virus, kyasanur forest disease virus, orthohepevirus a, orthohepevirus c, seoul orthohantavirus, zika virus","Stricter (sequencing or isolation)"
"sundamys infraluteus","mammalia","rodentia","muridae","sundamys",FALSE,1,0,"predict_hv-69","","Stricter (sequencing or isolation)"
"sundamys muelleri","mammalia","rodentia","muridae","sundamys",TRUE,5,1,"adenovirus predict_adv-70, murine coronavirus, orthohepevirus a, predict_cov-78, predict_hv-69","orthohepevirus a","Stricter (sequencing or isolation)"
"sundasciurus hippurus","mammalia","rodentia","sciuridae","sundasciurus",FALSE,1,0,"predict_cov-78","","Stricter (sequencing or isolation)"
"sundasciurus lowii","mammalia","rodentia","sciuridae","sundasciurus",FALSE,1,0,"predict_hv-121","","Stricter (sequencing or isolation)"
"suricata suricatta","mammalia","carnivora","herpestidae","suricata",TRUE,7,6,"mycobacterium tuberculosis, yersinia pseudotuberculosis, cystoisospora timoni, crimean-congo hemorrhagic fever orthonairovirus, influenza a virus, japanese encephalitis virus, rabies lyssavirus","mycobacterium tuberculosis, yersinia pseudotuberculosis, crimean-congo hemorrhagic fever orthonairovirus, influenza a virus, japanese encephalitis virus, rabies lyssavirus","Stricter (sequencing or isolation)"
"surnia ulula","aves","strigiformes","strigidae","surnia",TRUE,1,1,"usutu virus","usutu virus","Stricter (sequencing or isolation)"
"sus barbatus","mammalia","artiodactyla","suidae","sus",TRUE,2,1,"bovine gammaherpesvirus 4, porcine type-c oncovirus","porcine type-c oncovirus","Stricter (sequencing or isolation)"
"sus celebensis","mammalia","artiodactyla","suidae","sus",TRUE,2,1,"porcine type-c oncovirus, suid gammaherpesvirus 3","porcine type-c oncovirus","Stricter (sequencing or isolation)"
